N f1  f2  f12 score label lemma pos	
58076404	581	20897	8	0.1377	2010	werfen	VVFIN
58076404	581	218227	6	0.1033	2010	neu	ADJA
58076404	581	77620	5	0.0861	2010	eigen	ADJA
58076404	581	8963	5	0.0861	2010	helfen	VVFIN
86102360	583	779516	12	0.1394	2011	sagen	VVFIN
86102360	583	29448	7	0.0813	2011	werfen	VVFIN
86102360	583	336810	5	0.0581	2011	neu	ADJA
102792084	621	7140	13	0.1265	2012	rein	ADJA
102792084	621	954326	12	0.1167	2012	sagen	VVFIN
102792084	621	396429	9	0.0876	2012	neu	ADJA
102792084	621	36455	6	0.0584	2012	werfen	VVFIN
102792084	621	2220	5	0.0486	2012	flüchten	VVFIN
102285806	566	34068	14	0.1369	2013	werfen	VVFIN
102285806	566	128649	5	0.0489	2013	machen	VVFIN
56661206	455	23540	9	0.1588	2014	werfen	VVFIN
84508452	540	27549	8	0.0947	2015	werfen	VVFIN
68946528	1003	632471	11	0.1595	2016	sagen	VVFIN
68946528	1003	22676	7	0.1015	2016	werfen	VVFIN
68946528	1003	224184	6	0.0870	2016	neu	ADJA
23952564	1504	82237	10	0.4175	2017	neu	ADJA
23952564	1504	47272	8	0.3340	2017	eigen	ADJA
23952564	1504	104841	7	0.2922	2017	geben	VVFIN
23952564	1504	134462	6	0.2505	2017	sagen	VVFIN
